movie_title,genre
National Treasure,Adventure
The Life Aquatic with Steve Zissou,Comedy
Aliens of the Deep,Documentary
Pooh's Heffalump Movie,Adventure
The Pacifier,Comedy
Ice Princess,Comedy
A Lot Like Love,Comedy
The Hitchhiker's Guide to the Galaxy,Comedy
Hauru no ugoku shiro,Adventure
Herbie: Fully Loaded,Comedy
Dark Water,Thriller/Suspense
Sky High,Adventure
Valiant,Adventure
Flightplan,Thriller/Suspense
The Greatest Game Ever Played,Drama
Shopgirl,Drama
Chicken Little,Adventure
"The Chronicles of Narnia: The Lion, t…",Adventure
Casanova,Drama
Glory Road,Drama
Annapolis,Drama
Roving Mars,Documentary
Eight Below,Adventure
The Shaggy Dog,Comedy
Stay Alive,Horror
The Wild,Adventure
Stick It,Comedy
Goal! The Dream Begins,Drama
Cars,Comedy
Pirates of the Caribbean: Dead Man’…,Adventure
Step Up,Drama
Invincible,Drama
The Guardian,Action
The Prestige,Thriller/Suspense
Tim Burton's The Nightmare Before Chr…,Musical
The Santa Clause 3: The Escape Clause,Comedy
Déjà Vu,Thriller/Suspense
Apocalypto,Adventure
Primeval,Adventure
Bridge to Terabithia,Drama
Wild Hogs,Comedy
Meet the Robinsons,Adventure
The Lookout,Drama
The Hoax,Drama
The Invisible,Thriller/Suspense
Pirates of the Caribbean: At World’…,Adventure
Ratatouille,Comedy
Underdog,Adventure
The Game Plan,Comedy
Dan in Real Life,Romantic Comedy
Enchanted,Romantic Comedy
National Treasure 2: Book of Secrets,Adventure
Hannah Montana/Miley Cyrus: Best of B…,Concert/Performance
Step Up 2 the Streets,Drama
College Road Trip,Comedy
The Chronicles of Narnia: Prince Caspian,Adventure
WALL-E,Adventure
Swing Vote,Comedy
Goal! 2: Living the Dream...,Drama
Miracle at St. Anna,Drama
Beverly Hills Chihuahua,Comedy
Morning Light,Documentary
High School Musical 3: Senior Year,Musical
Bolt,Comedy
Bedtime Stories,Comedy
Confessions of a Shopaholic,Romantic Comedy
Jonas Brothers: The 3D Concert Experi…,Concert/Performance
Race to Witch Mountain,Adventure
Hannah Montana the Movie,Drama
Earth,Documentary
Up,Adventure
The Proposal,Romantic Comedy
G-Force,Adventure
Gake no ue no Ponyo,Adventure
X Games 3D: The Movie,Documentary
Walt and El Grupo,Documentary
Surrogates,Action
Toy Story 3D Double Feature,Adventure
Disney's A Christmas Carol,Drama
The Princess and the Frog,Adventure
Old Dogs,Comedy
When in Rome,Romantic Comedy
Alice in Wonderland,Adventure
Waking Sleeping Beauty,Documentary
The Last Song,Drama
Oceans,Documentary
Prince of Persia: Sands of Time,Action
Toy Story 3,Adventure
The Sorcerer's Apprentice,Adventure
Step Up 3D,Drama
Gedo Senki (Tales from Earthsea),Adventure
You Again,Comedy
Secretariat,Drama
Tangled,Adventure
Tron: Legacy,Adventure
Gnomeo and Juliet,Comedy
I am Number Four,Adventure
Mars Needs Moms,Adventure
African Cats,Documentary
Zokkomon,Adventure
Prom,Comedy
Pirates of the Caribbean: On Stranger…,Adventure
Cars 2,Adventure
Winnie the Pooh,Adventure
The Help,Drama
Fright Night,Horror
Real Steel,Action
The Muppets,Comedy
War Horse,Drama
The Secret World of Arietty,Adventure
John Carter,Adventure
Chimpanzee,Documentary
The Avengers,Action
Brave,Adventure
People Like Us,Drama
The Odd Life of Timothy Green,Drama
Frankenweenie,Comedy
Wreck-It Ralph,Adventure
Lincoln,Drama
Oz the Great and Powerful,Adventure
Iron Man 3,Action
Monsters University,Adventure
The Lone Ranger,Western
Disney Planes,Comedy
The Fifth Estate,Drama
Thor: The Dark World,Adventure
Kaze Tachinu,Drama
Frozen,Adventure
Delivery Man,Comedy
Saving Mr. Banks,Drama
Need for Speed,Action
Muppets Most Wanted,Comedy
Captain America: The Winter Soldier,Action
Bears,Documentary
Million Dollar Arm,Drama
Maleficent,Adventure
Planes: Fire and Rescue,Adventure
Guardians of the Galaxy,Adventure
The Hundred-Foot Journey,Romantic Comedy
"Alexander and the Terrible, Horrible,…",Comedy
Big Hero 6,Adventure
Into the Woods,Musical
Strange Magic,Adventure
"McFarland, USA",Drama
Cinderella,Drama
Monkey Kingdom,Documentary
Avengers: Age of Ultron,Action
Tomorrowland,Adventure
Inside Out,Adventure
Ant-Man,Action
Bridge of Spies,Thriller/Suspense
The Good Dinosaur,Adventure
Star Wars Ep. VII: The Force Awakens,Adventure
The Finest Hours,Thriller/Suspense
Zootopia,Adventure
The Jungle Book,Adventure
A Beautiful Planet,Documentary
Captain America: Civil War,Action
Alice Through the Looking Glass,Adventure
Finding Dory,Adventure
The BFG,Adventure
Pete’s Dragon,Adventure
The Light Between Oceans,Drama
Queen of Katwe,Drama
Doctor Strange,Adventure
Moana,Adventure
Rogue One: A Star Wars Story,Adventure
